Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2019,18.85,18.85,15.95,16.70,16.776666666666666666,60000,15,1006600.00,24000,40.00,2.90,-2.15
12-February-2019,16.00,17.35,16.00,17.35,16.426666666666666666,60000,15,985600.00,20000,33.33,1.35,1.35
11-February-2019,19.95,20.10,15.80,17.40,17.179166666666666666,144000,34,2473800.00,48000,33.33,4.30,-2.55
8-February-2019,16.70,19.75,16.70,19.75,17.940000000000000000,20000,5,358800.00,8000,40.00,3.05,3.05
7-February-2019,19.50,19.50,18.00,18.95,18.716666666666666666,24000,6,449200.00,16000,66.67,1.50,-0.55
6-February-2019,18.50,19.60,18.00,18.70,18.690000000000000000,20000,5,373800.00,4000,20.00,1.60,0.20
5-February-2019,21.00,21.00,16.80,18.50,18.584482758620689655,116000,26,2155800.00,60000,51.72,4.20,-2.50
4-February-2019,20.30,20.50,19.00,20.40,19.750000000000000000,52000,11,1027000.00,28000,53.85,1.50,0.10
1-February-2019,23.65,23.65,17.85,20.75,19.276250000000000000,160000,36,3084200.00,68000,42.50,5.80,-2.90
31-January-2019,22.75,22.75,20.45,22.30,21.944444444444444444,36000,5,790000.00,36000,100.00,2.30,-0.45
30-January-2019,25.90,25.90,19.05,19.60,21.152777777777777777,72000,17,1523000.00,36000,50.00,6.85,-6.30
29-January-2019,23.75,28.30,20.95,23.80,23.555263157894736842,76000,15,1790200.00,44000,57.89,7.35,0.05
28-January-2019,25.90,25.90,22.05,23.75,23.362500000000000000,64000,16,1495200.00,32000,50.00,3.85,-2.15
24-January-2019,22.45,22.90,21.15,22.90,22.375000000000000000,32000,8,716000.00,28000,87.50,1.75,0.45
23-January-2019,23.00,24.70,23.00,23.00,23.425000000000000000,16000,4,374800.00,8000,50.00,1.70,0.00
22-January-2019,27.80,27.80,23.80,25.05,24.900000000000000000,84000,19,2091600.00,48000,57.14,4.00,-2.75
21-January-2019,25.15,27.30,24.55,25.90,25.570000000000000000,40000,10,1022800.00,16000,40.00,2.75,0.75
18-January-2019,28.00,28.40,25.80,27.35,27.060000000000000000,40000,10,1082400.00,12000,30.00,2.60,-0.65
17-January-2019,25.60,28.10,25.60,28.10,26.433333333333333333,12000,3,317200.00,8000,66.67,2.50,2.50
16-January-2019,27.55,31.00,25.45,27.90,27.283333333333333333,36000,9,982200.00,8000,22.22,5.55,0.35
15-January-2019,24.70,27.70,24.70,27.70,27.100000000000000000,20000,2,542000.00,20000,100.00,3.00,3.00
11-January-2019,25.90,25.90,24.70,24.70,25.683333333333333333,24000,6,616400.00,20000,83.33,1.20,-1.20
10-January-2019,23.75,26.20,23.75,26.20,25.710000000000000000,20000,4,514200.00,20000,100.00,2.45,2.45
8-January-2019,21.55,23.75,21.55,23.75,23.242857142857142857,28000,7,650800.00,24000,85.71,2.20,2.20
7-January-2019,20.00,21.55,20.00,21.55,20.683333333333333333,12000,3,248200.00,4000,33.33,1.55,1.55
4-January-2019,20.00,20.00,20.00,20.00,20.000000000000000000,4000,1,80000.00,4000,100.00,0.00,0.00
3-January-2019,20.00,20.00,20.00,20.00,20.000000000000000000,4000,1,80000.00,4000,100.00,0.00,0.00
2-January-2019,20.20,21.80,20.10,21.80,20.470000000000000000,20000,5,409400.00,8000,40.00,1.70,1.60
1-January-2019,21.50,21.90,21.50,21.85,21.750000000000000000,12000,3,261000.00,4000,33.33,0.40,0.35
28-December-2018,20.95,22.00,20.95,22.00,21.500000000000000000,12000,3,258000.00,4000,33.33,1.05,1.05
27-December-2018,24.00,24.00,19.40,19.70,20.766666666666666666,48000,11,996800.00,28000,58.33,4.60,-4.30
18-December-2018,24.20,24.20,24.20,24.20,24.200000000000000000,4000,1,96800.00,4000,100.00,0.00,0.00
17-December-2018,26.20,26.20,26.20,26.20,26.200000000000000000,4000,1,104800.00,4000,100.00,0.00,0.00
11-December-2018,26.50,28.45,26.50,28.45,27.475000000000000000,8000,2,219800.00,0,0.00,1.95,1.95
10-December-2018,25.75,27.40,25.75,27.40,26.862500000000000000,32000,5,859600.00,16000,50.00,1.65,1.65
7-December-2018,24.00,26.75,24.00,26.75,25.375000000000000000,8000,2,203000.00,0,0.00,2.75,2.75
4-December-2018,25.30,25.30,25.30,25.30,25.300000000000000000,4000,1,101200.00,4000,100.00,0.00,0.00
30-November-2018,26.00,27.00,23.90,23.90,26.280000000000000000,40000,8,1051200.00,24000,60.00,3.10,-2.10
27-November-2018,23.00,24.40,23.00,24.40,23.900000000000000000,20000,3,478000.00,20000,100.00,1.40,1.40
26-November-2018,22.50,24.10,22.50,22.95,23.412500000000000000,16000,4,374600.00,16000,100.00,1.60,0.45
22-November-2018,23.00,23.00,19.20,21.10,20.942857142857142857,28000,7,586400.00,12000,42.86,3.80,-1.90
21-November-2018,25.00,25.00,23.00,24.00,24.000000000000000000,8000,2,192000.00,8000,100.00,2.00,-1.00
20-November-2018,26.00,26.00,26.00,26.00,26.000000000000000000,4000,1,104000.00,4000,100.00,0.00,0.00
19-November-2018,24.70,26.95,24.70,26.95,26.200000000000000000,12000,3,314400.00,12000,100.00,2.25,2.25
14-November-2018,26.90,26.90,26.90,26.90,26.900000000000000000,4000,1,107600.00,4000,100.00,0.00,0.00
13-November-2018,26.00,26.00,26.00,26.00,26.000000000000000000,4000,1,104000.00,4000,100.00,0.00,0.00
5-November-2018,25.00,25.00,25.00,25.00,25.000000000000000000,4000,1,100000.00,4000,100.00,0.00,0.00
31-October-2018,26.00,26.00,26.00,26.00,26.000000000000000000,4000,1,104000.00,4000,100.00,0.00,0.00
30-October-2018,24.50,24.50,24.50,24.50,24.500000000000000000,4000,1,98000.00,4000,100.00,0.00,0.00
19-October-2018,28.00,28.00,26.50,26.50,27.250000000000000000,8000,2,218000.00,8000,100.00,1.50,-1.50
12-October-2018,26.00,26.00,25.90,25.90,25.925000000000000000,16000,3,414800.00,16000,100.00,0.10,-0.10
10-October-2018,28.00,28.00,28.00,28.00,28.000000000000000000,16000,3,448000.00,16000,100.00,0.00,0.00
8-October-2018,26.00,26.00,26.00,26.00,26.000000000000000000,4000,1,104000.00,4000,100.00,0.00,0.00
1-October-2018,28.00,28.00,28.00,28.00,28.000000000000000000,8000,1,224000.00,8000,100.00,0.00,0.00
21-September-2018,26.00,26.00,26.00,26.00,26.000000000000000000,4000,1,104000.00,4000,100.00,0.00,0.00
